STUDENTNAAM,GESLACHT,GEBOORTEDATUM,KLASCODE,VAKCODE,DOCENTNAAM,PROEFWERKDATUM,CIJFER
Student21,M,2005-11-12 00:00:00,HV1,AAK,Docent 5,2024-05-21 00:00:00,"9,5"
Student7,M,2005-07-03 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"3,6"
Student8,M,2006-01-19 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"3,6"
Student17,M,2006-07-24 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"4,1"
Student19,M,2005-09-18 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"4,2"
Student4,M,2005-01-25 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"4,3"
Student2,M,2005-04-16 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"4,3"
Student11,M,2006-07-19 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"4,5"
Student25,M,2005-02-26 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"5,3"
Student8,M,2006-01-19 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"5,3"
Student19,M,2005-09-18 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"5,4"
Student11,M,2006-07-19 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"5,4"
Student22,M,2005-11-18 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"5,5"
Student7,M,2005-07-03 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"5,8"
Student2,M,2005-04-16 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"6,0"
Student1,M,2006-06-06 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"6,5"
Student22,M,2005-11-18 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"6,8"
Student16,M,2006-07-28 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"7,0"
Student8,M,2006-01-19 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"7,1"
Student25,M,2005-02-26 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"7,2"
Student21,M,2005-11-12 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"7,4"
Student4,M,2005-01-25 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"7,5"
Student11,M,2006-07-19 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"7,6"
Student4,M,2005-01-25 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"7,7"
Student21,M,2005-11-12 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"7,9"
Student19,M,2005-09-18 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"8,0"
Student2,M,2005-04-16 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"8,1"
Student17,M,2006-07-24 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"8,4"
Student7,M,2005-07-03 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"8,7"
Student1,M,2006-06-06 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"8,8"
Student21,M,2005-11-12 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"8,9"
Student22,M,2005-11-18 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"8,9"
Student25,M,2005-02-26 00:00:00,HV1,BIO,Docent 3,2023-10-18 00:00:00,"9,1"
Student1,M,2006-06-06 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"9,1"
Student17,M,2006-07-24 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"9,2"
Student16,M,2006-07-28 00:00:00,HV1,BIO,Docent 3,2024-05-24 00:00:00,"9,3"
Student16,M,2006-07-28 00:00:00,HV1,BIO,Docent 8,2024-02-21 00:00:00,"9,5"
Student7,M,2005-07-03 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"3,6"
Student2,M,2005-04-16 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"3,7"
Student21,M,2005-11-12 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"3,7"
Student16,M,2006-07-28 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"4,3"
Student1,M,2006-06-06 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"4,4"
Student8,M,2006-01-19 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"4,7"
Student2,M,2005-04-16 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"5,0"
Student11,M,2006-07-19 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"5,1"
Student19,M,2005-09-18 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"5,3"
Student25,M,2005-02-26 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"5,5"
Student2,M,2005-04-16 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"5,5"
Student19,M,2005-09-18 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"5,7"
Student7,M,2005-07-03 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"6,0"
Student21,M,2005-11-12 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"6,0"
Student4,M,2005-01-25 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"6,1"
Student21,M,2005-11-12 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"6,2"
Student11,M,2006-07-19 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"6,2"
Student7,M,2005-07-03 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"6,3"
Student1,M,2006-06-06 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"6,5"
Student22,M,2005-11-18 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"6,6"
Student17,M,2006-07-24 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"6,7"
Student17,M,2006-07-24 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"6,7"
Student16,M,2006-07-28 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"6,7"
Student17,M,2006-07-24 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"6,8"
Student8,M,2006-01-19 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"7,2"
Student4,M,2005-01-25 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"7,7"
Student22,M,2005-11-18 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"7,8"
Student22,M,2005-11-18 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"7,8"
Student8,M,2006-01-19 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"8,4"
Student11,M,2006-07-19 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"8,7"
Student19,M,2005-09-18 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"8,9"
Student1,M,2006-06-06 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"8,9"
Student16,M,2006-07-28 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"9,0"
Student4,M,2005-01-25 00:00:00,HV1,ENG,Docent 7,2024-02-22 00:00:00,"9,2"
Student25,M,2005-02-26 00:00:00,HV1,ENG,Docent 7,2024-05-22 00:00:00,"9,2"
Student25,M,2005-02-26 00:00:00,HV1,ENG,Docent 2,2023-10-17 00:00:00,"9,5"
Student11,M,2006-07-19 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"3,7"
Student17,M,2006-07-24 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"4,1"
Student22,M,2005-11-18 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"4,2"
Student17,M,2006-07-24 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"4,3"
Student21,M,2005-11-12 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"4,5"
Student2,M,2005-04-16 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"4,6"
Student7,M,2005-07-03 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"4,6"
Student8,M,2006-01-19 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"4,7"
Student7,M,2005-07-03 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"4,9"
Student2,M,2005-04-16 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"5,3"
Student1,M,2006-06-06 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"5,3"
Student2,M,2005-04-16 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"5,4"
Student1,M,2006-06-06 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"5,4"
Student4,M,2005-01-25 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"5,6"
Student19,M,2005-09-18 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"5,7"
Student16,M,2006-07-28 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"6,1"
Student1,M,2006-06-06 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"6,2"
Student22,M,2005-11-18 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"6,3"
Student17,M,2006-07-24 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"6,4"
Student8,M,2006-01-19 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"6,5"
Student25,M,2005-02-26 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"7,0"
Student22,M,2005-11-18 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"7,5"
Student8,M,2006-01-19 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"7,5"
Student19,M,2005-09-18 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"7,6"
Student21,M,2005-11-12 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"7,7"
Student7,M,2005-07-03 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"7,8"
Student16,M,2006-07-28 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"7,8"
Student4,M,2005-01-25 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"7,9"
Student25,M,2005-02-26 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"8,0"
Student4,M,2005-01-25 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"8,1"
Student25,M,2005-02-26 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"8,2"
Student21,M,2005-11-12 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"8,3"
Student19,M,2005-09-18 00:00:00,HV1,NED,Docent 1,2023-10-16 00:00:00,"8,4"
Student11,M,2006-07-19 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"8,5"
Student16,M,2006-07-28 00:00:00,HV1,NED,Docent 6,2024-02-23 00:00:00,"8,7"
Student11,M,2006-07-19 00:00:00,HV1,NED,Docent 1,2024-05-23 00:00:00,"9,4"
Student19,M,2005-09-18 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"3,7"
Student25,M,2005-02-26 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"4,0"
Student1,M,2006-06-06 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"4,1"
Student21,M,2005-11-12 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"4,3"
Student22,M,2005-11-18 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"4,4"
Student11,M,2006-07-19 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"4,8"
Student17,M,2006-07-24 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"4,8"
Student8,M,2006-01-19 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"4,9"
Student2,M,2005-04-16 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"5,0"
Student19,M,2005-09-18 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"5,1"
Student17,M,2006-07-24 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"5,1"
Student25,M,2005-02-26 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"5,2"
Student7,M,2005-07-03 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"5,3"
Student21,M,2005-11-12 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"5,5"
Student22,M,2005-11-18 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"5,5"
Student4,M,2005-01-25 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"5,8"
Student4,M,2005-01-25 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"5,9"
Student16,M,2006-07-28 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"5,9"
Student4,M,2005-01-25 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"6,0"
Student8,M,2006-01-19 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"6,1"
Student25,M,2005-02-26 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"6,3"
Student2,M,2005-04-16 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"6,3"
Student21,M,2005-11-12 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"6,8"
Student8,M,2006-01-19 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"6,8"
Student11,M,2006-07-19 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"6,8"
Student19,M,2005-09-18 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"6,9"
Student11,M,2006-07-19 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"7,1"
Student16,M,2006-07-28 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"7,1"
Student17,M,2006-07-24 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"7,3"
Student1,M,2006-06-06 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"7,5"
Student22,M,2005-11-18 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"7,6"
Student16,M,2006-07-28 00:00:00,HV1,WIS,Docent 9,2024-05-20 00:00:00,"8,1"
Student2,M,2005-04-16 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"8,3"
Student1,M,2006-06-06 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"8,8"
Student7,M,2005-07-03 00:00:00,HV1,WIS,Docent 4,2023-10-19 00:00:00,"8,9"
Student7,M,2005-07-03 00:00:00,HV1,WIS,Docent 9,2024-02-20 00:00:00,"9,3"
Student28,M,2005-09-02 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"4,0"
Student50,M,2005-04-23 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"4,2"
Student49,M,2005-06-24 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"4,3"
Student49,M,2005-06-24 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"4,7"
Student34,M,2006-03-22 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"4,7"
Student37,M,2006-07-12 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"5,4"
Student42,M,2005-04-23 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"5,6"
Student36,M,2006-03-02 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"5,6"
Student34,M,2006-03-22 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"6,1"
Student34,M,2006-03-22 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"6,1"
Student50,M,2005-04-23 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"6,3"
Student43,M,2006-08-23 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"6,4"
Student36,M,2006-03-02 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"7,1"
Student49,M,2005-06-24 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"7,4"
Student42,M,2005-04-23 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"7,8"
Student28,M,2005-09-02 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"7,8"
Student29,M,2005-05-25 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"7,9"
Student29,M,2005-05-25 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"7,9"
Student37,M,2006-07-12 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"7,9"
Student36,M,2006-03-02 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"8,4"
Student42,M,2005-04-23 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"9,1"
Student43,M,2006-08-23 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"9,1"
Student29,M,2005-05-25 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"9,4"
Student28,M,2005-09-02 00:00:00,HV2,AAK,Docent 5,2023-10-20 00:00:00,"9,4"
Student37,M,2006-07-12 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"9,4"
Student43,M,2006-08-23 00:00:00,HV2,AAK,Docent 5,2024-05-21 00:00:00,"9,4"
Student50,M,2005-04-23 00:00:00,HV2,AAK,Docent 10,2024-02-19 00:00:00,"9,7"
Student42,M,2005-04-23 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"4,2"
Student29,M,2005-05-25 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"4,3"
Student37,M,2006-07-12 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"4,3"
Student43,M,2006-08-23 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"4,3"
Student37,M,2006-07-12 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"4,6"
Student50,M,2005-04-23 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"4,8"
Student28,M,2005-09-02 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"4,9"
Student34,M,2006-03-22 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"5,4"
Student50,M,2005-04-23 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"5,6"
Student29,M,2005-05-25 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"5,8"
Student28,M,2005-09-02 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"6,8"
Student49,M,2005-06-24 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"6,9"
Student49,M,2005-06-24 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"7,4"
Student42,M,2005-04-23 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"7,5"
Student29,M,2005-05-25 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"7,7"
Student34,M,2006-03-22 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"7,8"
Student37,M,2006-07-12 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"7,9"
Student43,M,2006-08-23 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"8,1"
Student49,M,2005-06-24 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"8,3"
Student50,M,2005-04-23 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"8,7"
Student36,M,2006-03-02 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"8,8"
Student34,M,2006-03-22 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"8,8"
Student28,M,2005-09-02 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"9,1"
Student36,M,2006-03-02 00:00:00,HV2,BIO,Docent 8,2024-02-21 00:00:00,"9,3"
Student42,M,2005-04-23 00:00:00,HV2,BIO,Docent 3,2023-10-18 00:00:00,"9,5"
Student43,M,2006-08-23 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"9,5"
Student36,M,2006-03-02 00:00:00,HV2,BIO,Docent 3,2024-05-24 00:00:00,"9,9"
Student36,M,2006-03-02 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"4,0"
Student43,M,2006-08-23 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"4,0"
Student29,M,2005-05-25 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"4,2"
Student34,M,2006-03-22 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"4,3"
Student37,M,2006-07-12 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"4,3"
Student42,M,2005-04-23 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"4,8"
Student28,M,2005-09-02 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"4,8"
Student36,M,2006-03-02 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"5,5"
Student28,M,2005-09-02 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"5,7"
Student37,M,2006-07-12 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"5,7"
Student50,M,2005-04-23 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"6,2"
Student43,M,2006-08-23 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"6,2"
Student42,M,2005-04-23 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"6,5"
Student43,M,2006-08-23 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"6,5"
Student49,M,2005-06-24 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"6,7"
Student50,M,2005-04-23 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"6,9"
Student29,M,2005-05-25 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"7,2"
Student34,M,2006-03-22 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"7,5"
Student28,M,2005-09-02 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"7,8"
Student29,M,2005-05-25 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"8,1"
Student36,M,2006-03-02 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"8,1"
Student37,M,2006-07-12 00:00:00,HV2,ENG,Docent 7,2024-02-22 00:00:00,"8,3"
Student50,M,2005-04-23 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"8,4"
Student42,M,2005-04-23 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"8,6"
Student49,M,2005-06-24 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"9,5"
Student49,M,2005-06-24 00:00:00,HV2,ENG,Docent 7,2024-05-22 00:00:00,"9,6"
Student34,M,2006-03-22 00:00:00,HV2,ENG,Docent 2,2023-10-17 00:00:00,"9,7"
Student42,M,2005-04-23 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"4,2"
Student29,M,2005-05-25 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"4,2"
Student34,M,2006-03-22 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"4,5"
Student50,M,2005-04-23 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"4,6"
Student34,M,2006-03-22 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"5,4"
Student42,M,2005-04-23 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"5,5"
